"","x"
"544","ENSG00000109743"
"545","ENSG00000130303"
"546","ENSG00000174808"
"547","ENSG00000169814"
"548","ENSG00000119138"
"549","ENSG00000102554"
"550","ENSG00000145741"
"551","ENSG00000133639"
"552","ENSG00000010671"
"553","ENSG00000124557"
"554","ENSG00000292177"
"555","ENSG00000169679"
"556","ENSG00000156970"
"557","ENSG00000112578"
"558","ENSG00000100300"
"559","ENSG00000108561"
"560","ENSG00000149131"
"561","ENSG00000281708"
"562","ENSG00000173372"
"563","ENSG00000173369"
"564","ENSG00000159189"
"565","ENSG00000159403"
"566","ENSG00000288512"
"567","ENSG00000182326"
"568","ENSG00000166278"
"569","ENSG00000204364"
"570","ENSG00000231543"
"571","ENSG00000206372"
"572","ENSG00000235696"
"573","ENSG00000235017"
"574","ENSG00000226560"
"575","ENSG00000125730"
"576","ENSG00000171860"
"577","ENSG00000244731"
"578","ENSG00000244207"
"579","ENSG00000206340"
"580","ENSG00000227746"
"581","ENSG00000224389"
"582","ENSG00000228454"
"583","ENSG00000228267"
"584","ENSG00000236625"
"585","ENSG00000224639"
"586","ENSG00000123838"
"587","ENSG00000232621"
"588","ENSG00000123843"
"589","ENSG00000149260"
"590","ENSG00000106804"
"591","ENSG00000197405"
"592","ENSG00000039537"
"593","ENSG00000112936"
"594","ENSG00000157131"
"595","ENSG00000021852"
"596","ENSG00000176919"
"597","ENSG00000164823"
"598","ENSG00000113600"
"599","ENSG00000149823"
"600","ENSG00000149792"
"601","ENSG00000174276"
"602","ENSG00000066382"
"603","ENSG00000124920"
"604","ENSG00000134825"
"605","ENSG00000134780"
"606","ENSG00000221819"
"607","ENSG00000184922"
"608","ENSG00000168675"
"609","ENSG00000183255"
"610","ENSG00000160226"
"611","ENSG00000142188"
"612","ENSG00000263160"
"613","ENSG00000186732"
"614","ENSG00000133742"
"615","ENSG00000104267"
"616","ENSG00000164879"
"617","ENSG00000167434"
"618","ENSG00000174990"
"619","ENSG00000260133"
"620","ENSG00000131686"
"621","ENSG00000168748"
"622","ENSG00000178538"
